company,product,category,screen(pixel),ram(GB),gpu,os,os_version,weigth(kg),price,resolution,screentype,touchscreen,cpu_name,cpu_speed(GHz),cpu_brand,storage_1(GB),storage_2(GB),storage_1_type,storage_2_type,gpu_name
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,8,Nvidia GeForce 940MX,No OS,No OS ,2.2,5593068.0,1920x1080,,0.0,Intel Core i5 7200U,2.5,Intel,256.0,0.0,SSD,,Nvidia
HP,Probook 470,Notebook,17.3,16,Nvidia GeForce 930MX ,Windows,Windows 10,2.5,11301732.0,1920x1080,,0.0,Intel Core i7 8550U,1.8,Intel,512.0,0.0,SSD,,Nvidia
Acer,Aspire 3,Notebook,15.6,4,AMD Radeon R5,Windows,Windows 10,2.1,4010292.0,1366x768,,0.0,AMD A9-Series 9420,3.0,AMD,256.0,0.0,SSD,,AMD
HP,250 G6,Notebook,15.6,4,Intel HD Graphics 400,No OS,No OS ,1.86,2303028.0,1366x768,,0.0,Intel Celeron Dual Core N3060,1.6,Intel,500.0,0.0,HDD,,Intel
HP,Probook 440,Notebook,14.0,8,Intel UHD Graphics 620,Windows,Windows 10,1.63,7220304.0,1920x1080,,0.0,Intel Core i5 8250U,1.6,Intel,1000.0,0.0,HDD,,Intel
Asus,E402WA-GA007T (E2-6110/4GB/64GB/W10,Notebook,14.0,4,AMD Radeon R2,Windows,Windows 10 S,1.65,2471887.08,1366x768,,0.0,AMD E-Series 6110,1.5,AMD,64.0,0.0,SSD,,AMD
Dell,Inspiron 5770,Notebook,17.3,16,AMD Radeon 530,Windows,Windows 10,2.8,12413232.0,1920x1080,,0.0,Intel Core i7 8550U,1.8,Intel,256.0,2000.0,SSD  ,HDD,AMD
HP,ProBook 470,Notebook,17.3,8,Intel UHD Graphics 620,Windows,Windows 10,2.5,8251776.0,1920x1080,,0.0,Intel Core i5 8250U,1.6,Intel,256.0,0.0,SSD,,Intel
Dell,Inspiron 5567,Notebook,15.6,8,AMD Radeon R7 M445,Windows,Windows 10,2.36,5681899.08,1366x768,,0.0,Intel Core i5 7200U,2.5,Intel,1000.0,0.0,HDD,,AMD
Dell,Inspiron 3567,Notebook,15.6,4,AMD Radeon R5 M430,Windows,Windows 10,2.2,3992508.0,1920x1080,,0.0,Intel Core i3 6006U,2.0,Intel,1000.0,0.0,HDD,,AMD
Acer,Swift 3,Ultrabook,14.0,8,Intel UHD Graphics 620,Windows,Windows 10,1.6,7860528.0,1920x1080,IPSPanel,0.0,Intel Core i7 8550U,1.8,Intel,256.0,0.0,SSD,,Intel
Acer,Aspire A515-51G-37JS,Notebook,15.6,4,Nvidia GeForce MX130,Windows,Windows 10,2.2,5086224.0,1920x1080,,0.0,Intel Core i3 7130U,2.7,Intel,256.0,0.0,SSD,,Nvidia
HP,15-BS078nr (i7-7500U/8GB/1TB/W10),Notebook,15.6,8,Intel HD Graphics 620,Windows,Windows 10,2.05,5317416.0,1366x768,,0.0,Intel Core i7 7500U,2.7,Intel,1000.0,0.0,HDD,,Intel
HP,Probook 440,Notebook,14.0,8,Intel UHD Graphics 620,Windows,Windows 10,1.63,8785296.0,1920x1080,,0.0,Intel Core i7 8550U,1.8,Intel,256.0,0.0,SSD,,Intel
Lenovo,V110-15IAP (N3350/4GB/1TB/No,Notebook,15.6,4,Intel HD Graphics 500,No OS,No OS ,1.9,2243985.12,1366x768,,0.0,Intel Celeron Dual Core N3350,1.1,Intel,1000.0,0.0,HDD,,Intel
Asus,FX753VD-GC086T (i5-7300HQ/8GB/1TB,Gaming,17.3,8,Nvidia GeForce GTX 1050,Windows,Windows 10,3.0,8340696.0,1920x1080,,0.0,Intel Core i5 7300HQ,2.5,Intel,128.0,1000.0,SSD  ,HDD,Nvidia
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,4,Nvidia GeForce 920MX,No OS,No OS ,2.2,4437108.0,1920x1080,,0.0,Intel Core i5 7200U,2.5,Intel,1000.0,0.0,HDD,,Nvidia
HP,Envy 13-AD007nv,Notebook,13.3,4,Intel HD Graphics 620,Windows,Windows 10,1.32,6215508.0,1920x1080,IPSPanel,0.0,Intel Core i5 7200U,2.5,Intel,256.0,0.0,SSD,,Intel
Acer,Aspire 5,Notebook,17.3,4,Nvidia GeForce MX130,Windows,Windows 10,3.0,5824260.0,1920x1080,IPSPanel,0.0,Intel Core i3 7130U,2.7,Intel,1000.0,0.0,HDD,,Nvidia
Lenovo,ThinkPad E480,Notebook,14.0,8,AMD Radeon RX 550,Windows,Windows 10,1.75,9923649.84,1920x1080,IPSPanel,0.0,Intel Core i5 8250U,1.6,Intel,256.0,0.0,SSD,,AMD
Lenovo,Legion Y520-15IKBN,Gaming,15.6,8,Nvidia GeForce GTX 1050M,No OS,No OS ,2.4,7727148.0,1920x1080,IPSPanel,0.0,Intel Core i7 7700HQ,2.8,Intel,256.0,0.0,SSD,,Nvidia
Toshiba,Satellite Pro,Notebook,15.6,4,Intel HD Graphics 520,Windows,Windows 10,2.1,5352984.0,1366x768,,0.0,Intel Core i5 6200U,2.3,Intel,500.0,0.0,HDD,,Intel
HP,255 G6,Notebook,15.6,4,AMD Radeon R4 Graphics,Windows,Windows 10,1.86,3281148.0,1366x768,,0.0,AMD A6-Series 9220,2.5,AMD,256.0,0.0,SSD,,AMD
Asus,ZenBook UX430UA,Ultrabook,14.0,8,Intel UHD Graphics 620,Windows,Windows 10,1.25,9772308.0,1920x1080,,0.0,Intel Core i7 8550U,1.8,Intel,256.0,0.0,SSD,,Intel
HP,EliteBook Folio,Ultrabook,12.5,8,Intel HD Graphics 515,Windows,Windows 10,0.97,17908488.0,3840x2160,IPSPanel,1.0,Intel Core M 6Y75,1.2,Intel,512.0,0.0,SSD,,Intel
Asus,X541NA (N3350/4GB/1TB/FHD/W10),Notebook,15.6,4,Intel HD Graphics 500,Windows,Windows 10,2.0,3058848.0,1920x1080,,0.0,Intel Celeron Dual Core N3350,1.1,Intel,1000.0,0.0,HDD,,Intel
MSI,GE72MVR 7RG,Gaming,17.3,16,Nvidia GeForce GTX 1070,Windows,Windows 10,2.9,18041868.0,1920x1080,,0.0,Intel Core i7 7700HQ,2.8,Intel,256.0,1000.0,SSD  ,HDD,Nvidia
Acer,Aspire A315-51,Notebook,15.6,4,Intel HD Graphics 520,Windows,Windows 10,2.1,3974724.0,1366x768,,0.0,Intel Core i3 6006U,2.0,Intel,1000.0,0.0,HDD,,Intel
Dell,Inspiron 5577,Gaming,15.6,16,Nvidia GeForce GTX 1050,Windows,Windows 10,2.56,11108419.92,1920x1080,,0.0,Intel Core i7 7700HQ,2.8,Intel,512.0,0.0,SSD,,Nvidia
Dell,Inspiron 7567,Gaming,15.6,8,Nvidia GeForce GTX 1050,Windows,Windows 10,2.62,7993908.0,1920x1080,,0.0,Intel Core i7 7700HQ,2.8,Intel,1000.0,0.0,Hybrid,,Nvidia
Lenovo,V110-15IKB (i5-7200U/4GB/128GB/W10),Notebook,15.6,4,Intel HD Graphics 620,Windows,Windows 10,1.9,4428216.0,1366x768,,0.0,Intel Core i5 7200U,2.5,Intel,128.0,0.0,SSD,,Intel
MSI,GE73VR 7RE,Gaming,17.3,16,Nvidia GeForce GTX 1060,Windows,Windows 10,2.8,16805880.0,1920x1080,,0.0,Intel Core i7 7700HQ,2.8,Intel,256.0,1000.0,SSD  ,HDD,Nvidia
HP,EliteBook 840,Ultrabook,14.0,4,Intel HD Graphics 620,Windows,Windows 10,1.48,9621144.0,1920x1080,,0.0,Intel Core i5 7500U,2.7,Intel,256.0,0.0,SSD,,Intel
HP,15-BS103nv (i5-8250U/6GB/256GB/Radeon,Notebook,15.6,6,AMD Radeon 520,Windows,Windows 10,1.91,5504148.0,1920x1080,,0.0,Intel Core i5 8250U,1.6,Intel,256.0,0.0,SSD,,AMD
Lenovo,Yoga 520-14IKB,2 in 1 Convertible,14.0,4,Intel HD Graphics 620,Windows,Windows 10,1.74,5593068.0,1920x1080,IPSPanel,1.0,Intel Core i3 7100U,2.4,Intel,256.0,0.0,SSD,,Intel
Asus,ZenBook Flip,2 in 1 Convertible,13.3,8,Intel HD Graphics 620,Windows,Windows 10,1.1,11692980.0,1920x1080,,1.0,Intel Core i5 8250U,1.6,Intel,256.0,0.0,SSD,,Intel
Dell,Inspiron 5579,2 in 1 Convertible,15.6,8,Intel UHD Graphics 620,Windows,Windows 10,1.56,9327708.0,1920x1080,,1.0,Intel Core i7 8550U,1.8,Intel,256.0,0.0,SSD,,Intel
Toshiba,Satellite Pro,Notebook,15.6,4,Intel HD Graphics 520,Windows,Windows 10,2.1,3974724.0,1366x768,,0.0,Intel Core i3 6006U,2.2,Intel,500.0,0.0,HDD,,Intel
Asus,X555BP-XX180T (A9-9420/4GB/1TB/Radeon,Notebook,15.6,4,AMD Radeon R5 M420,Windows,Windows 10,2.03,3583476.0,1366x768,,0.0,AMD A9-Series 9420,3.0,AMD,1000.0,0.0,HDD,,AMD
Acer,Aspire A517-51G,Notebook,17.3,4,Nvidia GeForce MX150,Windows,Windows 10,3.0,7158060.0,1920x1080,IPSPanel,0.0,Intel Core i5 8250U,1.6,Intel,256.0,0.0,SSD,,Nvidia
Dell,Inspiron 3576,Notebook,15.6,8,AMD Radeon 520,Windows,Windows 10,2.13,6473376.0,1920x1080,,0.0,Intel Core i5 8250U,1.6,Intel,256.0,0.0,SSD,,AMD
Lenovo,Legion Y520-15IKBN,Gaming,15.6,16,Nvidia GeForce GTX 1050 Ti,Windows,Windows 10,2.5,9594468.0,1920x1080,IPSPanel,0.0,Intel Core i7 7700HQ,2.8,Intel,256.0,0.0,SSD,,Nvidia
Acer,Aspire A315-31,Notebook,15.6,4,Intel HD Graphics 500,Windows,Windows 10,2.1,3094416.0,1366x768,,0.0,Intel Celeron Dual Core N3350,1.1,Intel,1000.0,0.0,HDD,,Intel
MSI,GE63VR 7RE,Gaming,15.6,16,Nvidia GeForce GTX 1060,Windows,Windows 10,2.4,15996708.0,1920x1080,IPSPanel,0.0,Intel Core i7 7700HQ,2.8,Intel,256.0,1000.0,SSD  ,HDD,Nvidia
Acer,Aspire 3,Notebook,15.6,4,Intel HD Graphics 505,Windows,Windows 10,2.1,3232330.92,1366x768,,0.0,Intel Pentium Quad Core N4200,1.1,Intel,1000.0,0.0,HDD,,Intel
Dell,Inspiron 5577,Gaming,15.6,8,Nvidia GeForce GTX 1050,Windows,Windows 10,2.56,9429877.08,1920x1080,,0.0,Intel Core i7 7700HQ,2.8,Intel,128.0,1000.0,SSD  ,HDD,Nvidia
Acer,Aspire A517-51G,Notebook,17.3,8,Nvidia GeForce MX150,Windows,Windows 10,3.0,7593768.0,1920x1080,IPSPanel,0.0,Intel Core i5 8250U,1.6,Intel,256.0,0.0,SSD,,Nvidia
HP,ProBook 430,Notebook,13.3,4,Intel UHD Graphics 620,Windows,Windows 10,1.49,6704568.0,1920x1080,IPSPanel,0.0,Intel Core i5 8250U,1.6,Intel,500.0,0.0,HDD,,Intel
Huawei,MateBook X,Ultrabook,13.0,8,Intel HD Graphics 620,Windows,Windows 10,1.05,11995308.0,2160x1440,IPSPanel,0.0,Intel Core i5 7200U,2.5,Intel,256.0,0.0,SSD,,Intel
HP,17-bs001nv (i5-7200U/6GB/2TB/Radeon,Notebook,17.3,6,AMD Radeon 520,Windows,Windows 10,2.71,6215508.0,1920x1080,IPSPanel,0.0,Intel Core i5 7200U,2.5,Intel,2000.0,0.0,HDD,,AMD
Lenovo,IdeaPad 320-15AST,Notebook,15.6,4,AMD Radeon R4 Graphics,No OS,No OS ,2.2,2747628.0,1366x768,,0.0,AMD A6-Series 9220,2.9,AMD,500.0,0.0,HDD,,AMD
Toshiba,Satellite Pro,Notebook,15.6,4,Intel HD Graphics 620,Windows,Windows 10,2.0,4348188.0,1366x768,,0.0,Intel Core i3 7100U,2.4,Intel,500.0,0.0,HDD,,Intel
HP,ProBook 470,Notebook,17.3,8,Nvidia GeForce 930MX,Windows,Windows 10,2.5,8207316.0,1920x1080,,0.0,Intel Core i5 8250U,1.6,Intel,256.0,0.0,SSD,,Nvidia
Dell,Inspiron 3567,Notebook,15.6,8,Intel HD Graphics 620,Windows,Windows 10,2.3,4081428.0,1366x768,,0.0,Intel Core i3 7100U,2.4,Intel,1000.0,0.0,HDD,,Intel
Acer,Aspire A315-51,Notebook,15.6,4,Intel HD Graphics 520,Windows,Windows 10,2.1,3992508.0,1366x768,,0.0,Intel Core i3 6006U,2.0,Intel,128.0,0.0,SSD,,Intel
MSI,GT80S 6QF-074US,Gaming,18.4,32,Nvidia GTX 980 SLI,Windows,Windows 10,4.4,24888708.0,1920x1080,,0.0,Intel Core i7 6920HQ,2.9,Intel,512.0,1000.0,SSD  ,HDD,Nvidia
Lenovo,V310-15IKB (i5-7200U/8GB/1TB,Notebook,15.6,8,AMD R17M-M1-70,Windows,Windows 10,1.9,7229196.0,1920x1080,,0.0,Intel Core i5 7200U,2.5,Intel,128.0,1000.0,SSD  ,HDD,AMD
HP,Spectre x360,2 in 1 Convertible,13.3,8,Intel UHD Graphics 620,Windows,Windows 10,1.29,13329108.0,3840x2160,IPSPanel,1.0,Intel Core i5 8250U,1.6,Intel,256.0,0.0,SSD,,Intel
Dell,Inspiron 5570,Notebook,15.6,16,AMD Radeon 530,Linux,Linux ,2.02,9327708.0,1920x1080,,0.0,Intel Core i7 8550U,1.8,Intel,256.0,2000.0,SSD  ,HDD,AMD
Dell,XPS 13,Ultrabook,13.3,8,Intel UHD Graphics 620,Windows,Windows 10,1.23,12439908.0,1920x1080,,0.0,Intel Core i5 8250U,1.6,Intel,256.0,0.0,SSD,,Intel
Lenovo,Yoga 920-13IKB,2 in 1 Convertible,13.9,16,Intel UHD Graphics 620,Windows,Windows 10,1.4,16441308.0,3840x2160,IPSPanel,1.0,Intel Core i7 8550U,1.8,Intel,512.0,0.0,SSD,,Intel
Toshiba,Satellite Pro,Notebook,15.6,8,Intel HD Graphics 620,Windows,Windows 10,2.0,7051356.0,1366x768,,0.0,Intel Core i5 7200U,2.5,Intel,128.0,0.0,SSD,,Intel
Xiaomi,Mi Notebook,Notebook,15.6,8,Nvidia GeForce MX150,No OS,No OS ,1.95,10661508.0,1920x1080,IPSPanel,0.0,Intel Core i5 8250U,1.6,Intel,256.0,0.0,SSD,,Nvidia
Dell,Inspiron 7773,Notebook,17.3,16,Nvidia GeForce 150MX,Windows,Windows 10,2.77,13773708.0,1920x1080,,1.0,Intel Core i7 8550U,1.8,Intel,512.0,0.0,SSD,,Nvidia
Dell,XPS 15,Notebook,15.6,16,Nvidia GeForce GTX 1050,Windows,Windows 10,2.06,21314124.0,3840x2160,,1.0,Intel Core i7 7700HQ,2.8,Intel,512.0,0.0,SSD,,Nvidia
Lenovo,Legion Y520-15IKBN,Gaming,15.6,8,Nvidia GeForce GTX 1050,No OS,No OS ,2.4,6926868.0,1920x1080,IPSPanel,0.0,Intel Core i5 7300HQ,2.5,Intel,256.0,0.0,SSD,,Nvidia
Acer,Swift 7,Ultrabook,13.3,8,Intel HD Graphics 615,Windows,Windows 10,1.12,8794188.0,1920x1080,IPSPanel,0.0,Intel Core i5 7Y54,1.2,Intel,256.0,0.0,SSD,,Intel
Dell,Inspiron 5770,Notebook,17.3,8,AMD Radeon 530,Windows,Windows 10,2.8,9647820.0,1920x1080,,0.0,Intel Core i7 8550U,1.8,Intel,128.0,1000.0,SSD  ,HDD,AMD
Lenovo,Thinkpad Yoga,2 in 1 Convertible,14.0,16,Intel HD Graphics 620,Windows,Windows 10,1.42,25111008.0,2560x1440,,1.0,Intel Core i7 7500U,2.7,Intel,1000.0,0.0,SSD,,Intel
Vero,K147 (N3350/4GB/32GB/FHD/W10),Notebook,14.0,4,Intel HD Graphics 500,Windows,Windows 10,1.3,2311920.0,1920x1080,IPSPanel,0.0,Intel Celeron Dual Core N3350,1.1,Intel,32.0,0.0,Flash Storage,,Intel
Xiaomi,Mi Notebook,Ultrabook,13.3,8,Nvidia GeForce MX150,No OS,No OS ,1.3,8891110.8,1920x1080,IPSPanel,0.0,Intel Core i5 7200U,2.5,Intel,256.0,0.0,SSD,,Nvidia
Lenovo,IdeaPad 320-17IKBR,Notebook,17.3,8,Nvidia GeForce MX150,No OS,No OS ,2.8,6206616.0,1600x900,,0.0,Intel Core i5 8250U,1.6,Intel,256.0,0.0,SSD,,Nvidia
Dell,Inspiron 5379,2 in 1 Convertible,13.3,8,Intel UHD Graphics 620,Windows,Windows 10,1.62,7460388.0,1920x1080,IPSPanel,1.0,Intel Core i7 8550U,1.8,Intel,1000.0,0.0,HDD,,Intel
HP,ProBook 470,Notebook,17.3,8,Nvidia GeForce 930MX,Windows,Windows 10,2.5,8127288.0,1920x1080,IPSPanel,0.0,Intel Core i5 8250U,1.6,Intel,1000.0,0.0,HDD,,Nvidia
Razer,Blade Pro,Gaming,17.3,32,Nvidia GeForce GTX 1080,Windows,Windows 10,3.49,54232308.0,3840x2160,,1.0,Intel Core i7 7820HK,2.9,Intel,1000.0,0.0,SSD,,Nvidia
HP,ProBook 430,Notebook,13.3,8,Intel UHD Graphics 620,Windows,Windows 10,1.49,8527428.0,1920x1080,,0.0,Intel Core i5 8250U,1.6,Intel,512.0,0.0,SSD,,Intel
HP,Omen 17-W295,Gaming,17.3,16,Nvidia GeForce GTX 1050,Windows,Windows 10,3.35,12262068.0,1920x1080,IPSPanel,0.0,Intel Core i7 7700HQ,2.8,Intel,256.0,1000.0,SSD  ,HDD,Nvidia
HP,Probook 470,Notebook,17.3,8,Nvidia GeForce 930MX ,Windows,Windows 10,2.5,9292140.0,1920x1080,,0.0,Intel Core i7 8550U,1.8,Intel,256.0,0.0,SSD,,Nvidia
Dell,Inspiron 7577,Gaming,15.6,16,Nvidia GeForce GTX 1060,Windows,Windows 10,2.65,16405740.0,3840x2160,IPSPanel,0.0,Intel Core i7 7700HQ,2.8,Intel,512.0,1000.0,SSD  ,HDD,Nvidia
Lenovo,V110-15ISK (i5-6200U/4GB/128GB/W10),Notebook,15.6,4,Intel HD Graphics 520,Windows,Windows 10,2.1,4383756.0,1366x768,,0.0,Intel Core i5 6200U,2.3,Intel,128.0,0.0,SSD,,Intel
Acer,Aspire E5-576G,Notebook,15.6,8,Nvidia GeForce 940MX,Windows,Windows 10,2.23,6597864.0,1920x1080,,0.0,Intel Core i7 7500U,2.7,Intel,1000.0,0.0,HDD,,Nvidia
Lenovo,Legion Y720-15IKB,Gaming,15.6,16,Nvidia GeForce GTX 1060,Windows,Windows 10,3.2,15552108.0,1920x1080,IPSPanel,0.0,Intel Core i7 7700HQ,2.8,Intel,512.0,1000.0,SSD  ,HDD,Nvidia
Dell,Precision 7520,Workstation,15.6,16,Nvidia Quadro M1200,Windows,Windows 10,2.8,27165060.0,3840x2160,,0.0,Intel Xeon E3-1505M V6,3.0,Intel,256.0,1000.0,SSD  ,HDD,Nvidia
Lenovo,Legion Y520-15IKBN,Gaming,15.6,16,Nvidia GeForce GTX 1060,No OS,No OS ,2.4,12431016.0,1920x1080,,0.0,Intel Core i7 7700HQ,2.8,Intel,512.0,0.0,SSD,,Nvidia
Dell,Inspiron 3567,Notebook,15.6,6,Intel HD Graphics 620,Windows,Windows 10,2.3,3903588.0,1366x768,,1.0,Intel Core i3 7100U,2.4,Intel,1000.0,0.0,HDD,,Intel
Dell,XPS 13,Ultrabook,13.3,8,Intel UHD Graphics 620,Windows,Windows 10,1.21,17330508.0,3840x2160,IPSPanel,1.0,Intel Core i7 8550U,1.8,Intel,256.0,0.0,SSD,,Intel
Dell,XPS 13,Ultrabook,13.3,8,Intel UHD Graphics 620,Windows,Windows 10,1.2,12884508.0,1920x1080,,0.0,Intel Core i7 8550U,1.8,Intel,256.0,0.0,SSD,,Intel
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,8,Intel HD Graphics 620,Windows,Windows 10,2.2,5308524.0,1366x768,,0.0,Intel Core i5 7200U,2.5,Intel,256.0,0.0,SSD,,Intel
Acer,Aspire 7,Notebook,15.6,8,Nvidia GeForce GTX 1050,Linux,Linux ,2.4,6926868.0,1920x1080,,0.0,Intel Core i7 7700HQ,2.8,Intel,1000.0,0.0,HDD,,Nvidia
Asus,ROG GL703VD-GC028T,Gaming,17.3,16,Nvidia GeForce GTX 1050,Windows,Windows 10,2.9,12511044.0,1920x1080,,0.0,Intel Core i7 7700HQ,2.8,Intel,256.0,1000.0,SSD  ,HDD,Nvidia
HP,15-bs018nq (i3-6006U/4GB/500GB/FHD/No,Notebook,15.6,4,Intel HD Graphics 520,No OS,No OS ,2.1,3103308.0,1920x1080,,0.0,Intel Core i3 6006U,2.0,Intel,500.0,0.0,HDD,,Intel
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,8,Intel HD Graphics 620,No OS,No OS ,2.2,4881708.0,1920x1080,,0.0,Intel Core i5 7200U,2.5,Intel,256.0,0.0,SSD,,Intel
Huawei,MateBook X,Ultrabook,13.0,8,Intel HD Graphics 620,Windows,Windows 10,1.05,13329108.0,2160x1440,IPSPanel,0.0,Intel Core i7 7500U,2.7,Intel,512.0,0.0,SSD,,Intel
Dell,Inspiron 5370,Ultrabook,13.3,8,AMD Radeon 530,Windows,Windows 10,1.4,8286276.96,1920x1080,IPSPanel,0.0,Intel Core i7 8550U,1.8,Intel,256.0,0.0,SSD,,AMD
Lenovo,IdeaPad 320-17IKB,Notebook,17.3,8,Nvidia GeForce GTX 940MX,No OS,No OS ,2.8,5237388.0,1600x900,,0.0,Intel Core i5 7200U,2.5,Intel,1000.0,0.0,HDD,,Nvidia
HP,Probook 440,Notebook,14.0,8,Nvidia GeForce 930MX,Windows,Windows 10,1.63,9167652.0,1920x1080,,0.0,Intel Core i7 8550U,1.8,Intel,256.0,0.0,SSD,,Nvidia
Dell,Latitude 5490,Ultrabook,14.0,8,Intel UHD Graphics 620,Windows,Windows 10,1.6,10216908.0,1920x1080,,0.0,Intel Core i5 8250U,1.6,Intel,256.0,0.0,SSD,,Intel
Dell,Inspiron 5379,2 in 1 Convertible,13.3,16,Intel UHD Graphics 620,Windows,Windows 10,1.62,11372868.0,1920x1080,,1.0,Intel Core i7 8550U,1.8,Intel,512.0,0.0,SSD,,Intel
Dell,Inspiron 3576,Notebook,15.6,8,AMD Radeon 520,Linux,Linux ,2.2,6022996.2,1920x1080,,0.0,Intel Core i5 8250U,1.6,Intel,256.0,0.0,SSD,,AMD
Lenovo,Yoga 520-14IKB,2 in 1 Convertible,14.0,8,Intel UHD Graphics 620,Windows,Windows 10,1.74,7993908.0,1920x1080,IPSPanel,0.0,Intel Core i5 8250U,1.6,Intel,256.0,0.0,SSD,,Intel
Toshiba,Portege Z30-C-16L,Ultrabook,13.3,8,Intel HD Graphics 520,Windows,Windows 10,1.2,12119796.0,1920x1080,,0.0,Intel Core i7 6500U,2.5,Intel,256.0,0.0,SSD,,Intel
HP,ProBook 450,Notebook,15.6,8,Intel UHD Graphics 620,Windows,Windows 10,2.1,7060248.0,1920x1080,,0.0,Intel Core i5 8250U,1.6,Intel,1000.0,0.0,HDD,,Intel
Dell,Alienware 17,Gaming,17.3,16,Nvidia GeForce GTX 1060,Windows,Windows 10,4.42,21841775.28,1920x1080,IPSPanel,0.0,Intel Core i7 7700HQ,2.8,Intel,256.0,1000.0,SSD  ,HDD,Nvidia
Acer,Aspire E5-576G,Notebook,15.6,8,Nvidia GeForce 940MX,Windows,Windows 10,2.2,7398144.0,1920x1080,,0.0,Intel Core i7 7500U,2.7,Intel,256.0,0.0,SSD,,Nvidia
Dell,Inspiron 5567,Notebook,15.6,16,AMD Radeon R7 M445,Windows,Windows 10,2.3,7638316.92,1920x1080,,1.0,Intel Core i7 7500U,2.7,Intel,1000.0,0.0,HDD,,AMD
Asus,Vivobook X541UV-DM1217T,Notebook,15.6,8,Nvidia GeForce 920MX ,Windows,Windows 10,2.0,6837948.0,1920x1080,,0.0,Intel Core i5 7200U,2.5,Intel,256.0,0.0,SSD,,Nvidia
Asus,K756UX-T4340T (i5-7200U/8GB/500GB,Notebook,17.3,8,Nvidia GeForce GTX 950M,Windows,Windows 10,2.69,7922772.0,1920x1080,,0.0,Intel Core i5 7200U,2.5,Intel,256.0,500.0,SSD  ,HDD,Nvidia
HP,ZBook 15u,Notebook,15.6,8,AMD FirePro W4190M ,Windows,Windows 10,1.9,11283948.0,1920x1080,,0.0,Intel Core i7 7500U,2.7,Intel,1000.0,0.0,HDD,,AMD
Asus,Pro P2540UA-XO0198T,Notebook,15.6,4,Intel HD Graphics 620,Windows,Windows 10,2.37,3547819.08,1366x768,,0.0,Intel Core i3 7100U,2.4,Intel,1000.0,0.0,HDD,,Intel
HP,15-rb013nv (E2-9000e/4GB/500GB/W10),Notebook,15.6,4,AMD Radeon R2,Windows,Windows 10,2.1,2934360.0,1366x768,,0.0,AMD E-Series 9000e,1.5,AMD,500.0,0.0,HDD,,AMD
Lenovo,Legion Y720-15IKB,Gaming,15.6,16,Nvidia GeForce GTX 1060,Windows,Windows 10,3.2,13329108.0,1920x1080,IPSPanel,0.0,Intel Core i7 7700HQ,2.8,Intel,256.0,1000.0,SSD  ,HDD,Nvidia
Dell,Vostro 5468,Notebook,14.0,8,Intel HD Graphics 620,Windows,Windows 10,1.6,7638228.0,1920x1080,,0.0,Intel Core i5 7200U,2.5,Intel,256.0,0.0,SSD,,Intel
Acer,Aspire R7,2 in 1 Convertible,13.3,8,Intel HD Graphics 520,Windows,Windows 10,1.6,6126588.0,1920x1080,IPSPanel,1.0,Intel Core i5 6200U,2.3,Intel,256.0,0.0,SSD,,Intel
Dell,Inspiron 5567,Notebook,15.6,16,AMD Radeon R7 M445,Linux,Linux ,2.36,7993908.0,1920x1080,,0.0,Intel Core i7 7500U,2.7,Intel,256.0,0.0,SSD,,AMD
Acer,Aspire A315-51,Notebook,15.6,4,Intel HD Graphics 520,Linux,Linux ,2.1,3467880.0,1366x768,,0.0,Intel Core i3 6006U,2.0,Intel,1000.0,0.0,HDD,,Intel
Asus,X555QG-DM242T (A10-9620P/4GB/1TB,Notebook,15.6,4,AMD Radeon R5 M430,Windows,Windows 10,2.2,5112900.0,1920x1080,,0.0,AMD A10-Series A10-9620P,2.5,AMD,128.0,1000.0,SSD  ,HDD,AMD
Asus,ROG G703VI-E5062T,Gaming,17.3,32,Nvidia GeForce GTX 1080,Windows,Windows 10,4.7,34589880.0,1920x1080,,0.0,Intel Core i7 7820HK,2.9,Intel,512.0,1000.0,SSD  ,HDD,Nvidia
Acer,Nitro AN515-51,Gaming,15.6,8,Nvidia GeForce GTX 1050,Windows,Windows 10,2.5,7522632.0,1920x1080,IPSPanel,0.0,Intel Core i5 7300HQ,2.5,Intel,256.0,0.0,SSD,,Nvidia
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,8,Intel HD Graphics 520,Windows,Windows 10,2.2,5237388.0,1366x768,,0.0,Intel Core i3 6006U,2.0,Intel,128.0,0.0,SSD,,Intel
Asus,VivoBook Pro,Notebook,17.3,8,Nvidia GeForce 150MX,Windows,Windows 10,2.1,10181340.0,1920x1080,,0.0,Intel Core i7 8550U,1.8,Intel,128.0,1000.0,SSD  ,HDD,Nvidia
Asus,F756UX-T4201D (i7-7500U/8GB/128GB,Notebook,17.3,8,Nvidia GeForce GTX 950M,No OS,No OS ,2.69,7904988.0,1920x1080,,0.0,Intel Core i7 7500U,2.7,Intel,128.0,1000.0,SSD  ,HDD,Nvidia
Dell,Inspiron 5577,Gaming,15.6,8,Nvidia GeForce GTX 1050,Windows,Windows 10,2.56,7816068.0,1920x1080,,0.0,Intel Core i5 7300HQ,2.5,Intel,256.0,0.0,SSD,,Nvidia
